시도,시군구,총계-개소수,총계-이용량,전작용-개소수,전작용-이용량,답작용-개소수,답작용-이용량,원예용-개소수,원예용-이용량,수산업용-개소수,수산업용-이용량,축산업용-개소수,축산업용-이용량,양어장용-개소수,양어장용-이용량,기타-개소수,기타-이용량
경기도,안산시 상록구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,안성군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,안성시,12975,16396985,3601,6388098,8407,7615110,261,328031,3,7297,552,1627206,13,208797,138,222446
경기도,안양시,93,127699,51,79320,22,15374,17,20203,0,0,0,0,0,0,3,12802
경기도,안양시 동안구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,안양시 만안구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,양주군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,양주시,5817,9028989,3588,5109125,2021,3182437,36,85320,0,0,118,299358,2,9700,52,343049
경기도,양평군,11174,25730249,2998,6969232,7627,17171612,116,434733,3,16990,310,455799,37,343960,83,337923
경기도,여주군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,여주시,7879,14260327,1693,2860421,5507,4928838,87,120155,9,63720,254,1291323,12,109295,317,4886575
경기도,연천군,2449,3604897,1143,1950415,969,886350,102,126260,4,7094,172,290449,4,10015,55,334314
경기도,오산시,289,733562,126,267631,148,397877,9,55521,0,0,3,8492,0,0,3,4041
경기도,옹진군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,용인군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,용인시,2332,5191452,1071,1796718,741,1698498,64,171266,1,1460,73,249875,2,24000,380,1249635
경기도,용인시 기흥구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,용인시 수지구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,용인시 처인구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,의왕시,781,1194413,487,799471,58,39140,75,86434,3,4799,7,11541,5,8600,146,244428
경기도,의정부시,724,832188,365,387701,278,297764,47,26317,1,0,6,2667,1,14400,26,103339
경기도,이천군,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,이천시,10630,13717681,3050,5299888,6546,5287698,730,864763,1,5475,202,774667,2,9580,99,1475610
경기도,인천시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,인천시 남구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,인천시 동구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,인천시 북구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,인천시 중구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
